연월일,시분초,온도,습도,강수량,풍향
2023-10-17,15:09:26,19℃,습도57%,강수량0mm,풍향 북북동 4.3 m/s
2023-10-17,15:09:36,19℃,습도57%,강수량0mm,풍향 북북동 4.3 m/s
