시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,등기신청일자,거래유형,중개사소재지
서울특별시 구로구 개봉동,470,470,0,삼환,114.48,202309,19,"68,250",15,1995,남부순환로95길 54,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,470,470,0,삼환,114.48,202309,23,"68,000",4,1995,남부순환로95길 54,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,473,473,0,상우,84.06,202309,16,"58,000",16,1997,남부순환로97길 50,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,476,476,0,한마을,59.57,202309,6,"68,500",9,1999,경인로 382,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,476,476,0,한마을,59.57,202309,20,"65,000",23,1999,경인로 382,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,476,476,0,한마을,123.46,202309,20,"90,000",14,1999,경인로 382,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,493,493,0,한양아이클래스구로,42.35,202309,4,"34,000",11,2018,개봉로23가길 10,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,478,478,0,한진,59.95,202309,1,"50,000",3,2000,개봉로3길 87,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,478,478,0,한진,59.95,202309,18,"49,000",10,2000,개봉로3길 87,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,478,478,0,한진,59.95,202309,23,"48,800",7,2000,개봉로3길 87,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,478,478,0,한진,59.95,202309,26,"51,800",17,2000,개봉로3길 87,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,481,481,0,현대,84.99,202309,2,"75,800",4,2001,개봉로20길 6,, ,중개거래,"서울 관악구, 서울 구로구"
서울특별시 구로구 개봉동,481,481,0,현대,84.99,202309,5,"73,500",1,2001,개봉로20길 6,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,481,481,0,현대,59.94,202309,19,"70,000",15,2001,개봉로20길 6,, ,중개거래,서울 구로구
서울특별시 구로구 개봉동,480,480,0,현대홈타운,115,202309,13,"81,800",2,2001,개봉로20길 158,, ,중개거래,서울 구로구
